,day,Always on [Wh],Consumption [Wh],dayofweek
0,0,190.69871794871796,1231.6788461538458,Sonntag
1,1,170.66346153846155,987.3955128205133,Montag
2,2,140.65064102564102,944.5679487179484,Dienstag
3,3,150.0352564102564,1133.8044871794864,Mittwoch
4,4,183.27564102564102,1000.5451923076926,Donnerstag
5,5,245.8729641693811,1219.4143322475572,Freitag
6,6,198.4888178913738,1227.9118210862619,Samstag
